PID,weight_xgb,weight_lgb
0,1.0,0.0
1,1.0,0.0
2,0.2,0.8
3,0.4,0.6
4,0.0,1.0
5,0.9,0.09999999999999998
6,0.8,0.19999999999999996
7,0.0,1.0
8,0.30000000000000004,0.7
9,0.0,1.0
10,0.6000000000000001,0.3999999999999999
11,0.0,1.0
12,0.9,0.09999999999999998
13,0.0,1.0
14,0.30000000000000004,0.7
15,0.0,1.0
16,0.1,0.9
17,0.30000000000000004,0.7
18,0.0,1.0
19,0.7000000000000001,0.29999999999999993
20,0.2,0.8
21,1.0,0.0
22,1.0,0.0
23,1.0,0.0
24,0.0,1.0
25,0.7000000000000001,0.29999999999999993
26,0.0,1.0
27,1.0,0.0
28,0.9,0.09999999999999998
29,0.0,1.0
30,0.7000000000000001,0.29999999999999993
31,0.7000000000000001,0.29999999999999993
32,0.9,0.09999999999999998
33,1.0,0.0
34,1.0,0.0
35,1.0,0.0
36,1.0,0.0
37,1.0,0.0
38,1.0,0.0
39,0.5,0.5
40,1.0,0.0
41,1.0,0.0
42,1.0,0.0
44,0.5,0.5
45,1.0,0.0
46,0.0,1.0
48,1.0,0.0
49,1.0,0.0
50,1.0,0.0
51,0.0,1.0
52,0.0,1.0
53,1.0,0.0
54,1.0,0.0
55,1.0,0.0
56,1.0,0.0
57,0.9,0.09999999999999998
58,1.0,0.0
59,0.1,0.9
60,0.0,1.0
61,0.7000000000000001,0.29999999999999993
62,0.30000000000000004,0.7
63,0.0,1.0
64,0.0,1.0
65,0.4,0.6
66,0.0,1.0
67,0.4,0.6
68,1.0,0.0
69,0.30000000000000004,0.7
70,1.0,0.0
71,1.0,0.0
72,1.0,0.0
73,0.0,1.0
74,0.2,0.8
75,1.0,0.0
76,0.1,0.9
77,0.0,1.0
78,0.5,0.5
79,0.2,0.8
80,0.5,0.5
81,0.0,1.0
82,0.0,1.0
83,0.0,1.0
84,0.8,0.19999999999999996
85,0.6000000000000001,0.3999999999999999
86,1.0,0.0
87,1.0,0.0
88,0.0,1.0
89,0.0,1.0
90,0.0,1.0
91,0.0,1.0
92,0.7000000000000001,0.29999999999999993
93,0.30000000000000004,0.7
94,1.0,0.0
95,0.30000000000000004,0.7
96,1.0,0.0
97,0.4,0.6
99,0.6000000000000001,0.3999999999999999
100,0.7000000000000001,0.29999999999999993
102,0.0,1.0
103,1.0,0.0
104,1.0,0.0
105,0.0,1.0
106,0.4,0.6
107,0.7000000000000001,0.29999999999999993
108,0.6000000000000001,0.3999999999999999
109,0.2,0.8
110,0.1,0.9
111,1.0,0.0
112,0.1,0.9
113,0.0,1.0
114,0.8,0.19999999999999996
115,0.0,1.0
116,0.7000000000000001,0.29999999999999993
117,0.0,1.0
118,1.0,0.0
119,1.0,0.0
120,0.0,1.0
121,1.0,0.0
122,1.0,0.0
123,0.0,1.0
126,0.0,1.0
127,0.0,1.0
128,1.0,0.0
129,1.0,0.0
130,1.0,0.0
131,0.6000000000000001,0.3999999999999999
132,0.7000000000000001,0.29999999999999993
133,1.0,0.0
134,0.5,0.5
135,1.0,0.0
136,1.0,0.0
137,1.0,0.0
138,0.9,0.09999999999999998
139,1.0,0.0
140,1.0,0.0
141,0.1,0.9
142,0.0,1.0
143,0.1,0.9
144,1.0,0.0
145,1.0,0.0
146,0.0,1.0
147,1.0,0.0
148,0.7000000000000001,0.29999999999999993
149,0.0,1.0
150,0.9,0.09999999999999998
151,1.0,0.0
152,1.0,0.0
153,0.0,1.0
154,0.9,0.09999999999999998
155,0.0,1.0
156,1.0,0.0
158,1.0,0.0
159,1.0,0.0
160,1.0,0.0
161,1.0,0.0
164,0.5,0.5
165,0.9,0.09999999999999998
167,1.0,0.0
170,0.5,0.5
171,0.0,1.0
172,0.0,1.0
173,0.9,0.09999999999999998
174,0.9,0.09999999999999998
175,1.0,0.0
176,0.5,0.5
177,0.30000000000000004,0.7
178,0.6000000000000001,0.3999999999999999
179,0.2,0.8
180,0.0,1.0
181,0.9,0.09999999999999998
182,0.6000000000000001,0.3999999999999999
183,0.9,0.09999999999999998
184,1.0,0.0
185,1.0,0.0
187,0.2,0.8
188,0.6000000000000001,0.3999999999999999
189,1.0,0.0
190,0.7000000000000001,0.29999999999999993
191,0.6000000000000001,0.3999999999999999
192,1.0,0.0
193,1.0,0.0
194,0.7000000000000001,0.29999999999999993
195,0.1,0.9
196,0.8,0.19999999999999996
197,0.6000000000000001,0.3999999999999999
198,0.0,1.0
199,0.7000000000000001,0.29999999999999993
200,0.6000000000000001,0.3999999999999999
201,1.0,0.0
202,0.0,1.0
203,0.0,1.0
