true_bucket,0,1,2,3,4,5,6,7,8,9
0,767884,72149,16218,65972,46923,8914,4412,3425,7409,138057
1,851,3551,3962,8766,18752,4081,8756,8445,6849,22066
2,43,185,1637,2334,14184,3318,4387,10086,3887,21109
3,34,132,1286,2155,93099,13541,4444,3425,4745,15352
4,78,54,285,2093,27302,63968,6977,2885,5266,15060
5,62,12,231,335,790,10477,51338,5147,4466,11972
6,61,12,267,212,231,533,10810,46240,4199,12262
7,45,5,257,160,173,228,366,36653,22237,22781
8,26,11,41,77,133,87,111,632,45805,46190
9,0,0,3,13,22,4,17,88,2375,113957
